"","name","img","condicion","bancada","partido","circuncripcion","representante_de","estado","suplente","estado_legal_principal","estado_legal_suplente"
"88","Milagro Valero","http://www.asambleanacional.gob.ve/avatares/milagro-valero-191.jpg","Principal","MUD","PJ","lista","undefined","Mérida","Luis Williams Loaiza Rincon","exilio","no imposibilitado"
"89","Milagros De Jesús Paz Fuenmayor","http://www.asambleanacional.gob.ve/avatares/milagros-de-jesus-paz-fuenmayor-131.jpg","Principal","MUD","PJ","3","Sucre, Mp. Bolivar, Mp. Mejia, Mp. Montes","Sucre","Juan Carlos Bolivar Diaz","no imposibilitado",""
"90","Milagros Susana Sanchez Eulate","http://www.asambleanacional.gob.ve/avatares/milagros-susana-sanchez-eulate-310.jpg","Principal","MUD","AD","1","Municipio Vargas","Vargas","Winston Eduardo Flores Gomez","no imposibilitado","exilio"
"91","Nora Cecilia Bracho Parra","http://www.asambleanacional.gob.ve/avatares/nora-cecilia-bracho-parra-207.jpg","Principal","MUD","UNT","5","Pq. Coquivacoa, Pq. Olegario Villalobos, Pq. Juana De Avila","Zulia","Desiree Virginia Barboza Acosta","no imposibilitado","no imposibilitado"
"92","Olivia Yaneth Lozano Uzeche","http://www.asambleanacional.gob.ve/avatares/olivia-yaneth-lozano-uzeche-241.jpg","Principal","MUD","VP","1","Ce. Heres, Mp. Cede#o, Mp. Sucre","Bolívar","Angel Ernesto Alvarez Medina","no imposibilitado","no imposibilitado"
"93","Omar Barboza","http://www.asambleanacional.gob.ve/avatares/omar-barboza-340.jpg","Principal","MUD","UNT","12","Mp. Catatumbo, Mp. Colon, Mp. Sucre, Pq. Simon Rodriguez, Pq. Carlos Quevedo, Pq. Francisco J Pulgar","Zulia","Liz María Márquez Socorro","no imposibilitado",""
"94","Orlando Jose Avila Guerra","http://www.asambleanacional.gob.ve/avatares/orlando-jose-avila-guerra-161.jpg","Principal","MUD","UNT","1","Mp. Diaz, Mp. Gomez, Mp. Marcano, Mp. Tubores, Mp.antolin Del Campo, Mp.penin. De Macanao, Mp.villal","Nueva Esparta","Magalvi Jose Estaba Mata","no imposibilitado",""
"95","Pierre Aoueiss Maroun","http://www.asambleanacional.gob.ve/avatares/pierre-aoueiss-maroun-259.jpg","Principal","MUD","AD","1","Mp. Libertador, Mp. Sotillo, Mp. Uracoa, Pq. El Furrial, Pq. San Simon, Pq. Jusepin, Pq. El Corozo,","Monagas","Jose Antonio Mendoza Rivas","no imposibilitado",""
"96","Rafael David Guzmán Reverón","http://www.asambleanacional.gob.ve/avatares/rafael-david-guzman-reveron-109.jpg","Principal","MUD","PJ","4","Mp. Plaza, Mp. Zamora, Pq. Caucaguita, Pq. Filas De Mariches, Pq. La Dolorita","Miranda","Gilber Alexander Caro Alfonzo","exilio","no imposibilitado"
"97","Richard Eloy Arteaga Blakma","http://www.asambleanacional.gob.ve/avatares/richard-eloy-arteaga-blakma-177.jpg","Principal","MUD","VP","3","Ce. Bolivar, Mp. Peñalver, Mp. Piritu","Anzoátegui","Oneida Guaipe De Ávila","no imposibilitado",""
"98","Richard Jose Blanco Cabrera","http://www.asambleanacional.gob.ve/avatares/richard-jose-blanco-cabrera-59.jpg","Principal","MUD","","5","Pq. Antimano, Pq. La Vega, Pq. Macarao, Pq. Caricuao, Pq. El Paraiso","Distrito Capital","Rafael Antonio Veloz García","exilio","no imposibilitado"
"99","Robert Jose Alcala Arellan","http://www.asambleanacional.gob.ve/avatares/robert-jose-alcala-arellan-132.jpg","Principal","MUD","AD","lista","undefined","Sucre","Denncis Emilio Pazos Bravo","no imposibilitado",""
"100","Romel Edgardo Guzamana","http://www.asambleanacional.gob.ve/avatares/romel-edgardo-guzamana-320.jpg","Principal","MUD","idependiente","Occidental","","Representación Indígena","undefined","desinrcorporado",""
"101","Romny Oscar Flores Figueredo","http://www.asambleanacional.gob.ve/avatares/romny-oscar-flores-figueredo-73.jpg","Principal","MUD","AD","5","Libertador, Pq. Miguel Peña, Pq. Santa Rosa, Pq. Rafael Urdaneta, Pq. Negro Primero","Carabobo","Antonio Jose Roman Pinto","no imposibilitado",""
"102","Sergio Vergara Gonzalez","http://www.asambleanacional.gob.ve/avatares/sergio-vergara-gonzalez-6.jpg","Principal","MUD","VP","5","Mp. San Cristobal","Tachira","Rosmit Eliecer Mantilla Flores","exilio","exilio"
"103","Sonia Andreina Medina Guerrero","http://www.asambleanacional.gob.ve/avatares/sonia-andreina-medina-guerrero-5.jpg","Principal","MUD","VP","lista","undefined","Tachira","Carlos Enrique Valero","exilio","no imposibilitado"
"104","Teodoro Felipe Campos Rodríguez","http://www.asambleanacional.gob.ve/avatares/teodoro-felipe-campos-rodriguez-95.jpg","Principal","MUD","idependiente","3","Mp. Palavecino, Mp. Simon Planas, Pq. Catedral, Pq. Santa Rosa","Lara","Macario Bonifacio Gonzalez Arias","no imposibilitado","no imposibilitado"
"105","Timoteo Zambrano Guedez","http://www.asambleanacional.gob.ve/avatares/timoteo-zambrano-guedez-206.jpg","Principal","CONCERTACION","CMC","lista","undefined","Zulia","Edwin Rafael Luzardo Anez","no imposibilitado",""
"106","Tobias Rafael Bolivar Parra","http://www.asambleanacional.gob.ve/avatares/tobias-rafael-bolivar-parra-163.jpg","Principal","MUD","AD","lista","undefined","Nueva Esparta","Oscar Adolfo Ronderos Rangel","no imposibilitado",""
"107","Tomas Ignacio Guanipa Villalobos","http://www.asambleanacional.gob.ve/avatares/tomas-ignacio-guanipa-villalobos-55.jpg","Principal","MUD","PJ","lista","undefined","Distrito Capital","Tamara Adrian Hernandez","no imposibilitado","no imposibilitado"
"108","Virgilio Ferrer Brujes","http://www.asambleanacional.gob.ve/avatares/virgilio-ferrer-brujes-319.jpg","Principal","MUD","UNT","Occidental","","Representación Indígena","Ricardo Fernández","no imposibilitado",""
"109","William Barrientos","http://www.asambleanacional.gob.ve/avatares/william-barrientos-205.jpg","Principal","MUD","UNT","8","Pq. Francisco Eugenio B, Pq. Manuel Dagnino, Pq. Luis Hurtado Higuera, Pq. San Isidro","Zulia","Yorman Enrique Barillas Gil","no imposibilitado",""
